"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"211565_at",-6.3563743902439,2.56943035460993,-48.1363457621596,1.45398767979922e-88,4.3434973958642e-84,189.554878304553
"243689_s_at",-6.11932893569845,3.11598127659574,-34.9531917934513,9.94051229232928e-71,1.48476461854376e-66,150.106210415179
"1562755_at",-5.61425507760532,2.93193411347518,-32.4239620365679,1.09476482971826e-66,1.09013032527245e-62,141.038978665966
"1561754_at",-5.77453931263858,3.61921312056738,-29.861196279641,2.45226323018061e-62,1.83141148687963e-58,131.241047282186
"220232_at",-4.51826445676275,7.51057177304965,-29.0585339357741,6.43932276216747e-61,3.84723777748458e-57,128.036646852856
"224012_at",-4.94240425720621,3.26842163120567,-28.7609415916649,2.19908156861597e-60,1.09488606165442e-56,126.831424563473
"233103_at",-2.12472800443459,2.70361361702128,-28.6129374115724,4.06437504011529e-60,1.73450107961949e-56,126.228512237596
"213715_s_at",-2.99207953436807,5.46764312056738,-27.7260983431876,1.69111726066805e-58,6.3148432409921e-55,122.566294507299
"238062_at",-4.56845232815965,2.63448255319149,-25.6785131941412,1.28162990492667e-54,4.25401446109717e-51,113.774902210607
"232538_at",-5.68538984478936,3.38312510638298,-24.5120570103011,2.57001254783616e-52,7.67739848415097e-49,108.5479838893
"229839_at",-7.06716370288248,3.30696205673759,-24.4561438271209,3.32676844302468e-52,9.03459579077057e-49,108.293321997803
"1562527_at",-5.10640490022173,2.88868758865248,-24.1572529487,1.33023566647993e-51,3.31151083872957e-48,106.925526815115
"220725_x_at",-2.99939075388027,7.8775970212766,-23.6182153074478,1.6640120957906e-50,3.82377179519634e-47,104.431011122607
"216153_x_at",-2.73881711751663,7.55051737588652,-23.2884576470557,7.94128707689388e-50,1.69450049177179e-46,102.887221157977
"240988_x_at",-2.88966088691796,4.89197120567376,-23.2286497701882,1.05586157908877e-49,2.10278353014126e-46,102.605770720041
"236359_at",-4.97596811529933,2.82458581560284,-22.8163184235907,7.6155968362063e-49,1.42187952679994e-45,100.653156683778
"223229_at",6.70011490022173,7.63267645390071,22.4521377865174,4.43753247169909e-48,7.79778867806276e-45,98.9107169317507
"206209_s_at",-4.52777605321508,2.58444978723404,-22.3647583333832,6.78977092252459e-48,1.12683792649209e-44,98.4901430008485
"224159_x_at",-3.67861909090909,8.95114787234043,-22.3078529543551,8.96127486164015e-48,1.40894823127251e-44,98.2157243362782
"201663_s_at",6.88919800443459,8.32936120567376,22.0756464690239,2.79221832586251e-47,4.17059690242454e-44,97.0916608588502
"202779_s_at",5.74825323725056,8.42047354609929,21.8972308248034,6.71694512166917e-47,9.55501436283919e-44,96.2233082041892
"207828_s_at",6.67008179600887,8.42845730496454,21.7267598947328,1.5596658624684e-46,2.11781355952357e-43,95.3898138328186
"235849_at",-6.33656286031042,2.59635539007092,-21.6650993527142,2.11716415084264e-46,2.74982802948357e-43,95.0874148364722
"206438_x_at",-3.04573352549889,6.80738468085106,-21.6433458038747,2.35845679850083e-46,2.93559083090064e-43,94.9806133794697
"231031_at",-2.71483317073171,2.68923226950355,-21.5409968646577,3.92201955385917e-46,4.6864996052974e-43,94.4773037769765
"1570255_s_at",-4.25590605321508,3.89672163120567,-21.5284690611986,4.17431790797746e-46,4.7550930297471e-43,94.4156047220711
"219787_s_at",5.28681614190688,8.67876595744681,21.5226134382899,4.29777765216656e-46,4.7550930297471e-43,94.3867590325115
"1552509_a_at",-5.71572680709534,2.64251758865248,-21.5119532746474,4.53203655041724e-46,4.83519742395051e-43,94.3342341201182
"241632_x_at",-1.79585370288248,5.05082758865248,-21.445439242688,6.31321123874646e-46,6.50326066672665e-43,94.0061749715064
"239963_at",-3.02284860310421,3.43666574468085,-21.3540450921047,9.96435469883817e-46,9.92217226394642e-43,93.5544736202923
"242731_x_at",-1.36257567627495,3.29405836879433,-21.2888363927924,1.38083128479799e-45,1.33063138615388e-42,93.231531995113
"206742_at",-5.26258711751663,2.35812858156028,-21.2418141731883,1.74766817024536e-45,1.63150285155436e-42,92.9983175357697
"205507_at",-2.4938066518847,2.75502347517731,-21.0708733456662,4.125130875298e-45,3.73424347387204e-42,92.1481051568929
"226319_s_at",6.49553427937916,8.37816078014184,20.8749653480025,1.10881764698449e-44,9.74226752010818e-42,91.1690732706799
"1569609_at",-3.72684986696231,2.85271744680851,-20.8472950830285,1.27550376088482e-44,1.08866068139749e-41,91.0303940203879
